中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,231 ms,66 Mbps,8556 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,199 ms,117 Mbps,15052 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,225 ms,35 Mbps,4503 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,233 ms,3 Mbps,404 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,250 ms,74 Mbps,9518 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,219 ms,80 Mbps,10240 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,250 ms,36 Mbps,4634 kB/s
8.219.119.129,443,8.222.220.238,SG,Singapore,隧道,255 ms,56 Mbps,7175 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,214 ms,35 Mbps,4509 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,249 ms,89 Mbps,11468 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,208 ms,0 Mbps,73 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,217 ms,74 Mbps,9599 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,252 ms,32 Mbps,4221 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,22 ms,7 Mbps,991 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,267 ms,36 Mbps,4702 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,235 ms,1 Mbps,145 kB/s
8.219.89.56,443,8.222.207.55,SG,Singapore,隧道,253 ms,56 Mbps,7266 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,233 ms,20 Mbps,2686 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,242 ms,38 Mbps,4940 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,284 ms,38 Mbps,4925 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,244 ms,0 Mbps,65 kB/s
